seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
666063	0	0	0	0	0	0	0	0	0	0	0
666063	1	5	3	0	3	2	0	2	0	0	0
666063	2	5	3	0	3	2	0	2	0	0	0
666063	3	1	1	0	1	0	0	0	0	0	0
666063	4	4	3	0	3	1	0	1	0	0	0
666063	5	0	0	0	0	0	0	0	0	0	0
666063	6	0	0	0	0	0	0	0	0	0	0
666063	7	0	0	0	0	0	0	0	0	0	0
666063	8	1	1	0	1	0	0	0	0	0	0
666063	9	0	0	0	0	0	0	0	0	0	0
666063	10	0	0	0	0	0	0	0	0	0	0
666063	11	0	0	0	0	0	0	0	0	0	0
666063	12	1	0	0	0	1	0	1	0	0	0
666063	13	0	0	0	0	0	0	0	0	0	0
666063	14	0	0	0	0	0	0	0	0	0	0
666063	15	1	1	0	1	0	0	0	0	0	0
666063	16	0	0	0	0	0	0	0	0	0	0
666063	17	0	0	0	0	0	0	0	0	0	0
666063	18	1	1	0	1	0	0	0	0	0	0
666063	19	1	0	0	0	1	0	1	0	0	0
666063	20	0	0	0	0	0	0	0	0	0	0
666063	21	1	1	0	1	0	0	0	0	0	0
666063	22	1	1	0	1	0	0	0	0	0	0
666063	23	0	0	0	0	0	0	0	0	0	0
666063	24	2	0	0	0	2	0	2	0	0	0
666063	25	3	1	0	1	2	0	2	0	0	0
666063	26	3	3	0	3	0	0	0	0	0	0
666063	27	2	0	0	0	2	0	2	0	0	0
666063	28	3	1	0	1	2	0	2	0	0	0
666063	29	5	3	0	3	2	0	2	0	0	0
666063	30	3	3	0	3	0	0	0	0	0	0
666063	31	11	1	0	1	10	0	10	0	0	0
666063	32	5	1	0	1	4	0	4	0	0	0
666063	33	7	3	0	3	4	0	4	0	0	0
666063	34	13	9	0	9	4	0	4	0	0	0
666063	35	10	5	0	5	5	0	5	0	0	0
666063	36	9	4	0	4	5	0	5	0	0	0
666063	37	11	3	0	3	8	0	8	0	0	0
666063	38	7	4	0	4	3	0	3	0	0	0
666063	39	11	5	0	5	6	0	6	0	0	0
