"t" "B_HF_Mean" "B_HF_sd" "B_HM_Mean" "B_HM_sd" "B_MSM_Mean" "B_MSM_sd" "HF_Mean" "HF_sd" "HM_Mean" "HM_sd" "MSM_Mean" "MSM_sd" "Total_Mean" "Total_sd" "W_HF_Mean" "W_HF_sd" "W_HM_Mean" "W_HM_sd" "W_MSM_Mean" "W_MSM_sd"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 1 0 0 0 0 0 0 1.84615384615385 1.15558842819778 1.19230769230769 1.16684980247608 0 0 3.03846153846154 1.61197442239681 1.84615384615385 1.15558842819778 1.19230769230769 1.16684980247608 0 0
"3" 2 0 0 0 0 0 0 1.46153846153846 1.13950056536254 1.53846153846154 1.47596122525679 0 0 3 2.0591260281974 1.46153846153846 1.13950056536254 1.53846153846154 1.47596122525679 0 0
"4" 3 0 0 0 0 0 0 1.34615384615385 1.05611770905738 1.26923076923077 1.00230503571287 0 0 2.61538461538462 1.60192192261478 1.34615384615385 1.05611770905738 1.26923076923077 1.00230503571287 0 0
"5" 4 0 0 0 0 0 0 1.26923076923077 1.66271325989041 1.11538461538462 1.2434443478314 0 0 2.38461538461538 2.17397190555762 1.26923076923077 1.66271325989041 1.11538461538462 1.2434443478314 0 0
"6" 5 0 0 0 0 0 0 0.884615384615385 0.993052791222021 1.34615384615385 1.6719403743509 0 0 2.23076923076923 2.17821380599228 0.884615384615385 0.993052791222021 1.34615384615385 1.6719403743509 0 0
"7" 6 0 0 0 0 0 0 1.26923076923077 1.48479472810735 0.769230769230769 1.10662341589873 0 0 2.03846153846154 2.37454449073113 1.26923076923077 1.48479472810735 0.769230769230769 1.10662341589873 0 0
"8" 7 0 0 0 0 0 0 0.846153846153846 0.924870053242408 1.15384615384615 1.59228911174592 0 0 2 2.19089023002066 0.846153846153846 0.924870053242408 1.15384615384615 1.59228911174592 0 0
"9" 8 0 0 0 0 0 0 1.26923076923077 1.7563073149695 0.692307692307692 1.01071185880965 0 0 1.96153846153846 2.35763897542892 1.26923076923077 1.7563073149695 0.692307692307692 1.01071185880965 0 0
"10" 9 0 0 0 0 0 0 1.26923076923077 1.37281294596729 1.19230769230769 1.897771973009 0 0 2.46153846153846 2.88763944052258 1.26923076923077 1.37281294596729 1.19230769230769 1.897771973009 0 0
"11" 10 0 0 0 0 0 0 1.03846153846154 1.28002403823582 1.15384615384615 1.28661750935724 0 0 2.19230769230769 2.17291013655385 1.03846153846154 1.28002403823582 1.15384615384615 1.28661750935724 0 0
"12" 11 0 0 0 0 0 0 1.5 1.65529453572468 1 1.2 0 0 2.5 2.54950975679639 1.5 1.65529453572468 1 1.2 0 0
